Game 41,Predicted Player: 0.0,Actual Player: 0.0,Correct
Game 42,Predicted Player: 0.0,Actual Player: 0.0,Correct
Game 43,Predicted Player: 0.0,Actual Player: 0.0,Correct
Game 44,Predicted Player: 1.0,Actual Player: 0.0,Incorrect
Game 45,Predicted Player: 1.0,Actual Player: 1.0,Correct
Game 46,Predicted Player: 1.0,Actual Player: 1.0,Correct
Game 47,Predicted Player: 1.0,Actual Player: 1.0,Correct
Game 48,Predicted Player: 1.0,Actual Player: 1.0,Correct
Game 49,Predicted Player: 1.0,Actual Player: 1.0,Correct
Game 50,Predicted Player: 1.0,Actual Player: 1.0,Correct
Game 51,Predicted Player: 1.0,Actual Player: 1.0,Correct
Game 52,Predicted Player: 1.0,Actual Player: 1.0,Correct
Game 53,Predicted Player: 1.0,Actual Player: 1.0,Correct
Game 54,Predicted Player: 1.0,Actual Player: 1.0,Correct
Game 55,Predicted Player: 1.0,Actual Player: 1.0,Correct
Game 56,Predicted Player: 1.0,Actual Player: 1.0,Correct
Game 57,Predicted Player: 1.0,Actual Player: 1.0,Correct
Game 58,Predicted Player: 1.0,Actual Player: 1.0,Correct
Game 59,Predicted Player: 1.0,Actual Player: 1.0,Correct
Game 60,Predicted Player: 1.0,Actual Player: 1.0,Correct
Game 61,Predicted Player: 1.0,Actual Player: 1.0,Correct
Game 62,Predicted Player: 1.0,Actual Player: 1.0,Correct
Game 63,Predicted Player: 1.0,Actual Player: 1.0,Correct
Game 64,Predicted Player: 1.0,Actual Player: 1.0,Correct
Game 65,Predicted Player: 1.0,Actual Player: 1.0,Correct
Game 66,Predicted Player: 1.0,Actual Player: 1.0,Correct
Game 67,Predicted Player: 1.0,Actual Player: 1.0,Correct
Game 68,Predicted Player: 1.0,Actual Player: 1.0,Correct
Game 69,Predicted Player: 1.0,Actual Player: 1.0,Correct
Game 70,Predicted Player: 1.0,Actual Player: 1.0,Correct
Game 71,Predicted Player: 1.0,Actual Player: 1.0,Correct
Game 72,Predicted Player: 1.0,Actual Player: 1.0,Correct
Game 73,Predicted Player: 1.0,Actual Player: 1.0,Correct
Game 74,Predicted Player: 1.0,Actual Player: 1.0,Correct
Game 75,Predicted Player: 1.0,Actual Player: 1.0,Correct
Game 76,Predicted Player: 1.0,Actual Player: 1.0,Correct
Game 77,Predicted Player: 1.0,Actual Player: 1.0,Correct
Game 78,Predicted Player: 1.0,Actual Player: 1.0,Correct
Game 79,Predicted Player: 1.0,Actual Player: 1.0,Correct
Game 80,Predicted Player: 1.0,Actual Player: 1.0,Correct
Game 81,Predicted Player: 1.0,Actual Player: 1.0,Correct
Game 82,Predicted Player: 1.0,Actual Player: 1.0,Correct
Game 83,Predicted Player: 1.0,Actual Player: 1.0,Correct
Game 84,Predicted Player: 1.0,Actual Player: 1.0,Correct
Game 85,Predicted Player: 1.0,Actual Player: 1.0,Correct
Game 86,Predicted Player: 1.0,Actual Player: 1.0,Correct
Game 87,Predicted Player: 1.0,Actual Player: 1.0,Correct
